"","Participant","Group","Instructional.Condition","Order","Core","Reduced.Mass","Core.Start.Mass","Core.End.Mass","Flake.Scars_10mm","Flake.Scars_Core.Mass","Cortex","Avg.Flake.Scar.Max.Dimension_mm","Max.Core.Dimension","Avg.Scar.Max_Max.Core.Dimension","Area.of.Battered.Platform","surface_area","volume","bounding_box_dim1","bounding_box_dim2","bounding_box_dim3","isoper_ratio","area_volume","PC1","PC2"
"46","6","novice","0",1,"46",0.647795319,551.1,194.1,10,0.051519835,40,24.31,75.1,0.323701731,50,11054.68066,77007.375,73.31820679,58.55013657,46.70542526,227.8106199,0.14355353185328,-1.2325435761537,0.367712182138462
"47","6","novice","0",2,"44",0.821776277,503.3,89.7,42,0.468227425,20,16.03809524,56.1,0.285884051,90,6316.28418,35664.92448,51.47609711,50.61096954,34.39424133,198.1081611,0.177100730538264,0.366545622307997,-2.44347483197557
"48","6","novice","0",3,"60",0.413391558,1305.3,765.7,58,0.075747682,35,19.50862069,105.6,0.184740726,95,25254.04297,303091.5833,104.9055481,97.00228882,77.62765503,175.3254621,0.0833214921214211,-3.00441428132747,-1.49044779199981
"49","6","novice","0",4,"71",0.828966174,839.6,143.6,30,0.208913649,20,22.25666667,71.2,0.313033287,70,9264.569336,56921.6875,70.53520966,64.06079102,51.3895874,245.4257769,0.162759920566304,-0.344081723102397,-1.12031379211939
"50","6","novice","0",5,"112",0.765486172,799.1,187.4,17,0.090715048,40,21.72352941,73.9,0.293958449,65,10542.31445,74520.21875,73.40455627,47.22856522,45.98400116,210.9889234,0.141469182818254,-1.45188149913118,-0.21346326741563
"51","6","novice","0",6,"87",0.237619158,860.2,655.8,24,0.036596523,70,21.225,128.9,0.164662529,75,24735.05273,259507.5208,128.6638184,92.62944031,68.02500153,224.718395,0.0953153598544956,-3.6146112271245,0.00446961656808323
"52","6","novice","0",NA,"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","6","novice","0",NA,"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","6","novice","0",NA,"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","7","novice","0",1,"55",0.182904257,594.3,485.6,15,0.030889621,75,21.30666667,102.1,0.265122843,90,19389.13672,193087.6875,98.41703796,82.94911194,75.64645386,195.5087758,0.100416225244813,-3.23186699111432,0.118025239634647
"56","7","novice","0",2,"49",0.455070682,813.5,443.3,46,0.103767201,40,21.14565217,92.9,0.227617354,90,18156.17773,175651.9167,90.22125244,78.14685059,65.65135193,193.9847057,0.103364529525797,-2.476410422943,-1.14509575522728
"57","7","novice","0",3,"74",0.783834236,1607.1,347.4,42,0.1208981,25,24.05,86.5,0.278034682,90,15185.85254,137451.3646,86.3784256,68.51987457,59.99493027,185.3614524,0.110481642610044,-1.73990674482786,-1.42186439367065
"58","7","novice","0",4,"81",0.669917919,1876.2,619.3,61,0.098498305,30,23.18196721,99.6,0.232750675,90,22920.875,245339.625,91.69298553,90.4497757,77.03736877,200.0590416,0.0934250836977516,-2.37398090691759,-1.39816061763583
"59","7","novice","0",NA,"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","7","novice","0",NA,"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
